minute,timestamp,rpm,phase
6,2026-01-01 22:05:00,793.0,stress_spike
7,2026-01-01 22:06:00,799.0,stress_spike
8,2026-01-01 22:07:00,799.0,stress_spike
9,2026-01-01 22:08:00,793.0,stress_spike
10,2026-01-01 22:09:00,799.0,stress_spike
11,2026-01-01 22:10:00,799.0,stress_spike
12,2026-01-01 22:11:00,793.0,stress_spike
13,2026-01-01 22:12:00,799.0,stress_spike
14,2026-01-01 22:13:00,793.0,stress_spike
15,2026-01-01 22:14:00,799.0,stress_spike
16,2026-01-01 22:15:00,793.0,stress_spike
17,2026-01-01 22:16:00,799.0,stress_spike
18,2026-01-01 22:17:00,365.0,recovery_low
19,2026-01-01 22:18:00,365.0,recovery_low
20,2026-01-01 22:19:00,365.0,recovery_low
21,2026-01-01 22:20:00,365.0,recovery_low
22,2026-01-01 22:21:00,365.0,recovery_low
23,2026-01-01 22:22:00,365.0,recovery_low
24,2026-01-01 22:23:00,365.0,recovery_low
25,2026-01-01 22:24:00,365.0,recovery_low
26,2026-01-01 22:25:00,365.0,recovery_low
27,2026-01-01 22:26:00,365.0,recovery_low
28,2026-01-01 22:27:00,581.0,stress_moderate
29,2026-01-01 22:28:00,635.0,stress_moderate
30,2026-01-01 22:29:00,635.0,stress_moderate
31,2026-01-01 22:30:00,635.0,stress_moderate
32,2026-01-01 22:31:00,635.0,stress_moderate
33,2026-01-01 22:32:00,635.0,stress_moderate
34,2026-01-01 22:33:00,635.0,stress_moderate
35,2026-01-01 22:34:00,577.0,stress_moderate
36,2026-01-01 22:35:00,365.0,finish_low
37,2026-01-01 22:36:00,365.0,finish_low
38,2026-01-01 22:37:00,365.0,finish_low
39,2026-01-01 22:38:00,365.0,finish_low
40,2026-01-01 22:39:00,365.0,finish_low
